,loss,val_loss,reward,epsilon
0,0.0144375,0.0172875,1.943200000000489,0.9
1,0.0162375,0.008812500000000001,-4.278799999999854,0.8
2,0.009137500000000002,0.0356625,-10.747999999999768,0.7
3,0.0233375,0.007775,-12.857800000001891,0.6
4,0.015925,0.01865,4.846399999999693,0.5
5,0.0126,0.020537499999999993,-1.308999999999061,0.41
6,0.013762500000000002,0.0142125,2.7675999999990744,0.31
7,0.014262500000000001,0.026175000000000004,-8.130200000002192,0.21
8,0.0132375,0.0115625,-4.746200000000139,0.11
9,0.017687500000000002,0.0189625,1.7290000000009422,0.01
