,Trade,Price,Time
0,SELL,1.32171,21
1,TP,1.32171,22
2,SELL,1.3217899999999998,23
3,SL,1.3217899999999998,24
4,SELL,1.32147,33
5,SL,1.32147,34
6,SELL,1.3214199999999998,35
7,TP,1.3214199999999998,36
8,SELL,1.3214,47
9,SL,1.3214,48
10,SELL,1.32121,52
11,TP,1.32121,53
12,SELL,1.3210499999999998,54
13,TP,1.3210499999999998,55
14,SELL,1.3212799999999998,61
15,SL,1.3212799999999998,62
16,SELL,1.3210499999999998,64
17,SL,1.3210499999999998,65
18,BUY,1.31667,68
19,SL,1.31648,70
20,BUY,1.31677,86
21,TP,1.31677,87
22,SELL,1.3213899999999998,97
23,SL,1.32137,101
24,SELL,1.32122,109
25,TP,1.32122,110
26,SELL,1.3214,112
27,SL,1.3214299999999999,114
28,SELL,1.3211,118
29,SL,1.3211,119
30,BUY,1.31616,125
31,TP,1.31657,138
32,BUY,1.31663,139
33,TP,1.31663,140
34,BUY,1.31679,144
35,TP,1.31679,145
36,BUY,1.3167799999999998,146
37,TP,1.3167799999999998,147
38,BUY,1.31675,148
39,SL,1.31636,180
